id,parent_fen,move_san,name,type,branches,priority,tier,frequency
1,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -,e4,킹즈 폰 오프닝,book,[],1,1,45.32
2,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -,d4,퀸즈 폰 오프닝,book,[],2,1,35.96
3,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -,Nf3,주커토르트 오프닝,book,[],3,1,10.12
4,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -,c4,잉글리시 오프닝,book,[],4,1,6.91
5,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -,g3,헝가리안 오프닝,book,[],5,1,0.73
6,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -,b3,님조 라르센 어택,book,[],6,1,0.39
7,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -,f4,버드 오프닝,book,[],7,1,0.24
8,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -,Nc3,반 기트 오프닝,book,[],8,1,0.14
9,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -,b4,폴리시 오프닝,book,[],9,1,0.08
10,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -,e3,반트 크라위스 오프닝,book,[],10,1,0.03
11,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -,d3,미제스 오프닝,book,[],11,1,0.03
12,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -,a3,,okay,[],12,1,0.03
13,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -,c3,,okay,[],13,2,0.16
14,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -,g4,그로브 오프닝,book,[],14,3,0.28
15,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -,h4,,inaccuracy,[],15,6,0.41
33885,rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq -,Nf6,반트 크라위스 오프닝,best,[],1,1,26.13
33886,rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq -,d5,반트 크라위스 오프닝,best,[],2,1,24.47
