fen,san,name_ko,name_en,eval
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -,,체스 시작,Starting Position,0.0
rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq -,1. e3,반트 크라위스 오프닝,Van't Kruijs Opening,0.2
rnbqkbnr/pppp1ppp/8/4p3/8/4P3/PPPP1PPP/RNBQKBNR w KQkq -,1. e3 e5,반트 크라위스 오프닝,Van't Kruijs Opening,-0.3
rnbqkbnr/pppp1ppp/8/4p3/2P5/4P3/PP1P1PPP/RNBQKBNR b KQkq -,1. e3 e5 2. c4,반트 크라위스 오프닝,Van't Kruijs Opening,-0.1
rnbqkbnr/ppp2ppp/3p4/4p3/2P5/4P3/PP1P1PPP/RNBQKBNR w KQkq -,1. e3 e5 2. c4 d6,반트 크라위스 오프닝,Van't Kruijs Opening,-0.3
rnbqkbnr/ppp2ppp/3p4/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR b KQkq -,1. e3 e5 2. c4 d6 3. Nc3,반트 크라위스 오프닝,Van't Kruijs Opening,0.4
r1bqkbnr/ppp2ppp/2np4/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR w KQkq -,1. e3 e5 2. c4 d6 3. Nc3 Nc6,반트 크라위스 오프닝,Van't Kruijs Opening,-0.5
r1bqkbnr/ppp2ppp/2np4/4p3/2P5/1PN1P3/P2P1PPP/R1BQKBNR b KQkq -,1. e3 e5 2. c4 d6 3. Nc3 Nc6 4. b3,반트 크라위스 오프닝,Van't Kruijs Opening,0.1
r1bqkb1r/ppp2ppp/2np1n2/4p3/2P5/1PN1P3/P2P1PPP/R1BQKBNR w KQkq -,1. e3 e5 2. c4 d6 3. Nc3 Nc6 4. b3 Nf6,암스테르담 어택,Amsterdam Attack,-0.1
rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq -,1. g4,그로브 오프닝,Grob Opening,-1.3
rnbqkbnr/ppppp1pp/8/5p2/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,1. g4 f5,그로브 오프닝: 알레시 갬빗,Grob Opening: Alessi Gambit,-0.7
rnbqkbnr/pppppp1p/8/6p1/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,1. g4 g5,그로브 오프닝: 더블 그로브,Grob Opening: Double Grob,-0.3
rnbqkbnr/pppppp1p/8/6p1/5PP1/8/PPPPP2P/RNBQKBNR b KQkq -,1. g4 g5 2. f4,"그로브 오프닝: 더블 그로브, 코카콜라 갬빗","Grob Opening: Double Grob, Coca-Cola Gambit",-1.7
rnbqkbnr/ppp1pppp/8/3p4/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,1. g4 d5,그로브 오프닝,Grob Opening,1.3
rnbqkbnr/ppp1pppp/8/3p4/6P1/8/PPPPPPBP/RNBQK1NR b KQkq -,1. g4 d5 2. Bg2,그로브 오프닝: 그로브 갬빗,Grob Opening: Grob Gambit,-1.6
rnbqkbnr/pp2pppp/2p5/3p4/6P1/8/PPPPPPBP/RNBQK1NR w KQkq -,1. g4 d5 2. Bg2 c6,그로브 오프닝: 그로브 갬빗 거절,Grob Opening: Grob Gambit Declined,0.8
rnbqkbnr/ppp1ppp1/8/3p3p/6P1/8/PPPPPPBP/RNBQK1NR w KQkq -,1. g4 d5 2. Bg2 h5,그로브 오프닝: 그로브 갬빗,Grob Opening: Grob Gambit,0.7
rnbqkbnr/ppp1ppp1/8/3p3P/8/8/PPPPPPBP/RNBQK1NR b KQkq -,1. g4 d5 2. Bg2 h5 3. gxh5,"그로브 오프닝: 그로브 갬빗, 바스만 갬빗","Grob Opening: Grob Gambit, Basman Gambit",-0.7
rn1qkbnr/ppp1pppp/8/3p4/6b1/8/PPPPPPBP/RNBQK1NR w KQkq -,1. g4 d5 2. Bg2 Bxg4,그로브 오프닝: 그로브 갬빗,Grob Opening: Grob Gambit,1.5
rn1qkbnr/ppp1pppp/8/3p4/2P3b1/8/PP1PPPBP/RNBQK1NR b KQkq -,1. g4 d5 2. Bg2 Bxg4 3. c4,"그로브 오프닝: 그로브 갬빗, 프리츠 갬빗","Grob Opening: Grob Gambit, Fritz Gambit",-1.6
rn1qkbnr/ppp1pppp/8/8/2Pp2b1/8/PP1PPPBP/RNBQK1NR w KQkq -,1. g4 d5 2. Bg2 Bxg4 3. c4 d4,그로브 오프닝: 롬포드 카운터갬빗,Grob Opening: Romford Countergambit,1.2
rn1qkbnr/pBp1pppp/8/8/2Pp2b1/8/PP1PPP1P/RNBQK1NR b KQkq -,1. g4 d5 2. Bg2 Bxg4 3. c4 d4 4. Bxb7,그로브 오프닝: 롬포드 카운터갬빗,Grob Opening: Romford Countergambit,-1.1
r2qkbnr/pBpnpppp/8/8/2Pp2b1/8/PP1PPP1P/RNBQK1NR w KQkq -,1. g4 d5 2. Bg2 Bxg4 3. c4 d4 4. Bxb7 Nd7,그로브 오프닝: 롬포드 카운터갬빗,Grob Opening: Romford Countergambit,0.0
B2qkbnr/p1pnpppp/8/8/2Pp2b1/8/PP1PPP1P/RNBQK1NR b KQk -,1. g4 d5 2. Bg2 Bxg4 3. c4 d4 4. Bxb7 Nd7 5. Bxa8,그로브 오프닝: 롬포드 카운터갬빗,Grob Opening: Romford Countergambit,-1.1
q3kbnr/p1pnpppp/8/8/2Pp2b1/8/PP1PPP1P/RNBQK1NR w KQk -,1. g4 d5 2. Bg2 Bxg4 3. c4 d4 4. Bxb7 Nd7 5. Bxa8 Qxa8,"그로브 오프닝: 그로브 갬빗, 프리츠 갬빗, 롬포드 카운터갬빗","Grob Opening: Grob Gambit, Fritz Gambit, Romford Countergambit",1.2
rnbqkbnr/ppp2ppp/8/3pp3/6P1/8/PPPPPPBP/RNBQK1NR w KQkq -,1. g4 d5 2. Bg2 e5,그로브 오프닝: 그로브 갬빗,Grob Opening: Grob Gambit,0.9
rnbqkbnr/ppp2ppp/8/3pp3/3P2P1/8/PPP1PPBP/RNBQK1NR b KQkq -,1. g4 d5 2. Bg2 e5 3. d4,그로브 오프닝: 그로브 갬빗,Grob Opening: Grob Gambit,-0.8
rnbqkbnr/ppp2ppp/8/3p4/3p2P1/8/PPP1PPBP/RNBQK1NR w KQkq -,1. g4 d5 2. Bg2 e5 3. d4 exd4,그로브 오프닝: 그로브 갬빗,Grob Opening: Grob Gambit,0.7
rnbqkbnr/ppp2ppp/8/3p4/3p2P1/2P5/PP2PPBP/RNBQK1NR b KQkq -,1. g4 d5 2. Bg2 e5 3. d4 exd4 4. c3,"그로브 오프닝: 그로브 갬빗, 케레스 갬빗","Grob Opening: Grob Gambit, Keres Gambit",-1.9
rnbqkbnr/pp2pppp/2p5/3p4/2P3P1/8/PP1PPPBP/RNBQK1NR b KQkq -,1. g4 d5 2. Bg2 c6 3. c4,그로브 오프닝: 그로브 갬빗 거절,Grob Opening: Grob Gambit Declined,-1.6
rnbqkbnr/pp2pppp/2p5/8/2p3P1/8/PP1PPPBP/RNBQK1NR w KQkq -,1. g4 d5 2. Bg2 c6 3. c4 dxc4,그로브 오프닝: 그로브 갬빗 거절,Grob Opening: Grob Gambit Declined,1.2
rnbqkbnr/pp2pppp/2p5/8/2p3P1/1P6/P2PPPBP/RNBQK1NR b KQkq -,1. g4 d5 2. Bg2 c6 3. c4 dxc4 4. b3,"그로브 오프닝: 그로브 갬빗, 리히터-그로브 갬빗","Grob Opening: Grob Gambit, Richter-Grob Gambit",-1.9
rnbqkbnr/ppp1pppp/8/3p4/6P1/7P/PPPPPP2/RNBQKBNR b KQkq -,1. g4 d5 2. h3,그로브 오프닝,Grob Opening,-1.5
rnbqkbnr/ppp2ppp/8/3pp3/6P1/7P/PPPPPP2/RNBQKBNR w KQkq -,1. g4 d5 2. h3 e5,그로브 오프닝,Grob Opening,1.3
rnbqkbnr/ppp2ppp/8/3pp3/6P1/7P/PPPPPPB1/RNBQK1NR b KQkq -,1. g4 d5 2. h3 e5 3. Bg2,그로브 오프닝,Grob Opening,-1.3
rnbqkbnr/pp3ppp/2p5/3pp3/6P1/7P/PPPPPPB1/RNBQK1NR w KQkq -,1. g4 d5 2. h3 e5 3. Bg2 c6,그로브 오프닝: 킨 디펜스,Grob Opening: Keene Defense,1.1
rnbqkbnr/pp3ppp/2p5/3pp3/3P2P1/7P/PPP1PPB1/RNBQK1NR b KQkq -,1. g4 d5 2. h3 e5 3. Bg2 c6 4. d4,그로브 오프닝: 킨 디펜스,Grob Opening: Keene Defense,-1.2
rnbqkbnr/pp3ppp/2p5/3p4/3Pp1P1/7P/PPP1PPB1/RNBQK1NR w KQkq -,1. g4 d5 2. h3 e5 3. Bg2 c6 4. d4 e4,그로브 오프닝: 킨 디펜스,Grob Opening: Keene Defense,1.2
rnbqkbnr/pp3ppp/2p5/3p4/2PPp1P1/7P/PP2PPB1/RNBQK1NR b KQkq -,1. g4 d5 2. h3 e5 3. Bg2 c6 4. d4 e4 5. c4,그로브 오프닝: 킨 디펜스,Grob Opening: Keene Defense,-1.3
rnbqk1nr/pp3ppp/2pb4/3p4/2PPp1P1/7P/PP2PPB1/RNBQK1NR w KQkq -,1. g4 d5 2. h3 e5 3. Bg2 c6 4. d4 e4 5. c4 Bd6,그로브 오프닝: 킨 디펜스,Grob Opening: Keene Defense,1.2
rnbqk1nr/pp3ppp/2pb4/3p4/2PPp1P1/2N4P/PP2PPB1/R1BQK1NR b KQkq -,1. g4 d5 2. h3 e5 3. Bg2 c6 4. d4 e4 5. c4 Bd6 6. Nc3,그로브 오프닝: 킨 디펜스,Grob Opening: Keene Defense,-1.4
rnbqk2r/pp2nppp/2pb4/3p4/2PPp1P1/2N4P/PP2PPB1/R1BQK1NR w KQkq -,1. g4 d5 2. h3 e5 3. Bg2 c6 4. d4 e4 5. c4 Bd6 6. Nc3 Ne7,"그로브 오프닝: 킨 디펜스, 메인 라인","Grob Opening: Keene Defense, Main Line",1.3
